AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);LATITUDE;LONGITUDE
EDDF;FRANKFURT AM MAIN;;;ALEMANHA;EUROPA; 50.033333;8.570556
SPIM;"CALLAO/LIMA; LIMA METROPOLITAN AREA";;;PERU;AMÉRICA DO SUL; -12.0219;-77.114305
GUCY;CONAKRY/GBESSIA;;;GUINÉ;ÁFRICA; 9.57689;-13.612
SKRG;MEDELLÍN/RIONEGRO;;;COLÔMBIA;AMÉRICA DO SUL; 6.16454;-75.4231
SEGU;GUAYAQUIL;;;EQUADOR;AMÉRICA DO SUL; -2.1574199199699997;-79.88359832760001
SEQU;QUITO;;;EQUADOR;AMÉRICA DO SUL; -0.141144007444;-78.4881973267
MPTO;PANAMA;;;PANAMÁ;AMÉRICA CENTRAL; 9.0713596344;-79.3834991455
SCDA;IQUIQUE;;;CHILE;AMÉRICA DO SUL; -20.535200119018555;-70.1812973022461
ELLX;LUXEMBOURG CITY;;;LUXEMBURGO;EUROPA; 49.6233333;6.2044444
TNCC;WILLEMSTAD;;;CURAÇAO;AMÉRICA DO NORTE; 12.1889;-68.959801
OMAA;AB DHABI INTERNATIONAL;;;EMIRADOS ÁRABES UNIDOS;ÁSIA; 24.433000564575195;54.651100158691406
EHBK;BEEK;;;HOLANDA;EUROPA; 50.911701;5.77014
TJBQ;AQUADILLA BORINQUEN;;;PORTO RICO;AMÉRICA CENTRAL; 18.49489974975586;-67.12940216064453
SBCP;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.698299408;-41.301700592
SBPV;PORTO VELHO;RO;NORTE;BRASIL;AMÉRICA DO SUL; -8.70928955078125;-63.90230178833008
KATL;ATLANTA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.6367;-84.428101
KDTW;"ROMULUS; MICHIGAN (NEAR DETROIT)";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 42.212398529052734;-83.35340118408203
EDDM;MUNICH;;;ALEMANHA;EUROPA; 48.353802;11.7861
SACO;"CÓRDOBA; CÓRDOBA PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -31.323601;-64.208
SCCF;CALAMA;;;CHILE;AMÉRICA DO SUL; -22.498199462890625;-68.90360260009766
FNLU;LUANDA;;;ANGOLA;ÁFRICA; -8.85837;13.2312
LLBG;LOD/TEL AVIV;;;ISRAEL;ÁSIA; 32.01139831542969;34.88669967651367
SCEL;SANTIAGO;;;CHILE;AMÉRICA DO SUL; -33.393001556396484;-70.78579711914062
KMEM;"MEMPHIS; TENNESSEE";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 35.04240036010742;-89.97669982910156
KBNA;"NASHVILLE; TENNESSEE";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 36.1245002746582;-86.6781997680664
SOCA;CAYENNE;;;GUIANA FRANCESA;AMÉRICA DO SUL; 4.819809913639999;-52.360401153599994
SBMQ;MACAPÁ;AP;NORTE;BRASIL;AMÉRICA DO SUL; 0.0506640002131;-51.0722007751
GOOY;DACAR;;;SENEGAL;ÁFRICA; 14.739700317382812;-17.49020004272461
SUMU;"MONTEVIDEO; MONTEVIDEO";;;URUGUAI;AMÉRICA DO SUL; -34.838402;-56.0308
EHAM;"HAARLEMMERMEER; NEAR AMSTERDAM";;;HOLANDA;EUROPA; 52.308601;4.76389
DGAA;ACCRA;;;GANA;ÁFRICA; 5.605189800262451;-0.16678600013256073
MDPC;PUNTA CANA;;;REPÚBLICA DOMINICANA;AMÉRICA CENTRAL; 18.567399978599997;-68.36340332030001
MMUN;CANCUN/INTL;;;MÉXICO;AMÉRICA DO NORTE; 21.036500930800003;-86.8770980835
KLAS;"LAS VEGAS; NEVADA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 36.08010101;-115.1520004
MUHA;HAVANA;;;CUBA;AMÉRICA CENTRAL; 22.989200592041016;-82.40910339355469
SGAS;ASUNCIÓN;;;PARAGUAI;AMÉRICA DO SUL; -25.239999771118164;-57.52000045776367
SBCZ;CRUZEIRO DO SUL;AC;NORTE;BRASIL;AMÉRICA DO SUL; -7.59991;-72.769501
SBIZ;IMPERATRIZ;MA;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.53129;-47.459999
SBMA;MARABÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL; -5.36858987808;-49.138000488299994
SBRB;RIO BRANCO;AC;NORTE;BRASIL;AMÉRICA DO SUL; -9.869031;-67.893984
SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL; -2.4247219562530518;-54.785831451416016
SAAR;"ROSARIO; SANTA FE PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -32.9036;-60.785
SBBV;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL; 2.84138894081;-60.6922225952
SBKG;CAMPINA GRANDE;PB;NORDESTE;BRASIL;AMÉRICA DO SUL; -7.26992;-35.8964
SBUL;UBERLÂNDIA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -18.883612;-48.225277
TNCA;"ORANJESTAD; ARUBA";;;ARUBA;AMÉRICA DO SUL; 12.5014;-70.015198
SBMK;MONTES CLAROS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -16.706899642899998;-43.818901062
SBLO;LONDRINA;PR;SUL;BRASIL;AMÉRICA DO SUL; -23.333599090599996;-51.1301002502
MUSC;SANTA CLARA;;;CUBA;AMÉRICA CENTRAL; 22.49220085144043;-79.943603515625
TNCM;PHILIPSBURG;;;ILHA DE SÃO MARTINHO;AMÉRICA CENTRAL; 18.041000366200002;-63.1088981628
SBCH;CHAPECÓ;SC;SUL;BRASIL;AMÉRICA DO SUL; -27.134199142456;-52.656600952148
SULS;"MALDONADO/PUNTA DEL ESTE; MALDONADO";;;URUGUAI;AMÉRICA DO SUL; -34.855098724365234;-55.09429931640625
SBFN;FERNANDO DE NORONHA;PE;NORDESTE;BRASIL;AMÉRICA DO SUL; -3.85493;-32.423302
TBPB;BRIDGETOWN;;;BARBADOS;AMÉRICA CENTRAL; 13.0746;-59.4925
SJTC;AREALVA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.166859140899998;-49.0502866745
KOPF;"OPA-LOCKA; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 25.907;-80.278397
SBAE;AREALVA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.15778;-49.06833
SWPI;PARINTINS;AM;NORTE;BRASIL;AMÉRICA DO SUL; -2.6730198860168457;-56.777198791503906
SBMN;MANAUS;AM;NORTE;BRASIL;AMÉRICA DO SUL; -3.1460399627685547;-59.98630142211914
MROC;SAN JOSE/JUAN SANTAMARIA;;;COSTA RICA;AMÉRICA CENTRAL; 9.993860244750977;-84.20880126953125
KGYR;"PHOENIX; ARIZONA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.4225006104;-112.375999451
KTUS;"TUCSON; ARIZONA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.115004;-110.938053
KBWI;"BALTIMORE; MARYLAND & WASHINGTON; DC";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.1754;-76.668297
KHSV;"HUNTSVILLE; ALABAMA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 34.637199401855;-86.775100708008
KDOV;"DOVER; DELAWARE";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.12950134;-75.46600342
KIND;"INDIANAPOLIS; INDIANA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.7173;-86.294403
KWRI;"WRIGHTSTOWN; NEW JERSEY";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.0155983;-74.59169769
KCHS;"CHARLESTON; SOUTH CAROLINA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.89860153;-80.04049683
GCLP;LAS PALMAS;;;ILHAS CANÁRIAS;ÁFRICA; 27.931900024414062;-15.38659954071045
LEBL;BARCELONA;;;ESPANHA;EUROPA; 41.2971;2.07846
RKSI;INCHEON (NEAR SEOUL);;;COREIA DO SUL;ÁSIA; 37.46910095214844;126.45099639892578
KLAX;"LOS ANGELES; CALIFORNIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.942501;-118.407997
MKJP;KINGSTON/NORMAN MANLEY INTL;;;JAMAICA;AMÉRICA CENTRAL; 17.935699462890625;-76.7874984741211
SGES;CIUDAD DEL ESTE;;;PARAGUAI;AMÉRICA DO SUL; -25.454516;-54.842682
MYGF;FREEPORT;;;BAHAMAS;AMÉRICA CENTRAL; 26.5587005615;-78.695602417
SANT;"TUCUMÁN; TUCUMÁN PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -26.8409;-65.104897
MNMG;MANAGUA;;;NICARÁGUA;AMÉRICA CENTRAL; 12.141500473022461;-86.16819763183594
SVVA;"VALENCIA; CARABOBO";;;VENEZUELA;AMÉRICA DO SUL; 10.14973258972168;-67.92839813232422
MGGT;GUATEMALA/LA AURORA;;;GUATEMALA;AMÉRICA CENTRAL; 14.5833;-90.527496
MMGL;GUADALAJARA/INTL;;;MÉXICO;AMÉRICA DO NORTE; 20.521799087524414;-103.31099700927734
MMAA;ACAPULCO/GEN.JUAN ALVAREZ;;;MÉXICO;AMÉRICA DO NORTE; 16.757099151611328;-99.75399780273438
MMMD;MERIDA;;;MÉXICO;AMÉRICA DO NORTE; 20.937000274699997;-89.657699585
SJQK;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL; 2.6955599784851074;-60.81420135498047
SWBV;AMAJARI;RR;NORTE;BRASIL;AMÉRICA DO SUL; 4.003466;-64.493635
SWUQ;ALTO ALEGRE;RR;NORTE;BRASIL;AMÉRICA DO SUL; 2.83528;-63.646999
SJLU;CARACARAÍ;RR;NORTE;BRASIL;AMÉRICA DO SUL; 1.7408299446105957;-62.286399841308594
SWJQ;SELVÍRIA;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -20.226943969726562;-51.84583282470703
SWQR;BOA VISTA;RR;NORTE;BRASIL;AMÉRICA DO SUL; 2.675832986831665;-60.77861022949219
SJLM;PACARAIMA;RR;NORTE;BRASIL;AMÉRICA DO SUL; 4.151669979095459;-61.427799224853516
SBTF;TEFÉ;AM;NORTE;BRASIL;AMÉRICA DO SUL; -3.38294005394;-64.7240982056
GCTS;TENERIFE;;;ESPANHA;EUROPA; 28.044500351;-16.5725002289
SBHT;ALTAMIRA;PA;NORTE;BRASIL;AMÉRICA DO SUL; -3.2539100646973;-52.254001617432
SBIH;ITAITUBA;PA;NORTE;BRASIL;AMÉRICA DO SUL; -4.2423400878906;-56.000701904297
SBMD;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL; -0.889839;-52.6022
SMJP;ZANDERIJ;;;SURINAME;AMÉRICA DO SUL; 5.4528298377999995;-55.1878013611
SNOX;ORIXIMINÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.7140799760818481;-55.83620071411133
SYCJ;GEORGETOWN;;;GUIANA;AMÉRICA DO SUL; 6.498549938201904;-58.25410079956055
KSFB;"SANFORD; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 28.777599334716797;-81.23750305175781
SBPF;PASSO FUNDO;RS;SUL;BRASIL;AMÉRICA DO SUL; -28.243999;-52.326599
SSER;ERECHIM;RS;SUL;BRASIL;AMÉRICA DO SUL; -27.66189956665039;-52.2682991027832
SSJA;JOAÇABA;SC;SUL;BRASIL;AMÉRICA DO SUL; -27.1714000702;-51.5532989502
SBCD;CAÇADOR;SC;SUL;BRASIL;AMÉRICA DO SUL; -26.78840065;-50.9398002625
SBSM;SANTA MARIA;RS;SUL;BRASIL;AMÉRICA DO SUL; -29.711399;-53.688202
SBNM;SANTO ÂNGELO;RS;SUL;BRASIL;AMÉRICA DO SUL; -28.2817;-54.169102
SBPK;PELOTAS;RS;SUL;BRASIL;AMÉRICA DO SUL; -31.718399;-52.327702
SBUG;URUGUAIANA;RS;SUL;BRASIL;AMÉRICA DO SUL; -29.7821998596;-57.0382003784
SJRG;RIO GRANDE;RS;SUL;BRASIL;AMÉRICA DO SUL; -32.083065;-52.167184
SSZR;SANTA ROSA;RS;SUL;BRASIL;AMÉRICA DO SUL; -27.9067;-54.520401
SURV;"RIVERA; RIVERA";;;URUGUAI;AMÉRICA DO SUL; -30.974599838256836;-55.476200103759766
SSIJ;IJUÍ;RS;SUL;BRASIL;AMÉRICA DO SUL; -28.36870002746582;-53.84659957885742
SBTR;TORRES;RS;SUL;BRASIL;AMÉRICA DO SUL; -29.41489982605;-49.810001373291
SSCK;CONCÓRDIA;SC;SUL;BRASIL;AMÉRICA DO SUL; -27.180599212646484;-52.05270004272461
SSFB;FRANCISCO BELTRÃO;PR;SUL;BRASIL;AMÉRICA DO SUL; -26.059200286865234;-53.063499450683594
SIXE;ELDORADO DO SUL;RS;SUL;BRASIL;AMÉRICA DO SUL; -30.050277709960938;-51.44361114501953
SBBG;BAGÉ;RS;SUL;BRASIL;AMÉRICA DO SUL; -31.39049911499;-54.112201690674
SBUF;PAULO AFONSO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -9.4008798599243;-38.250598907471
SBMS;MOSSORÓ;RN;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.2019200324999995;-37.3642997742
SNRU;CARUARU;PE;NORDESTE;BRASIL;AMÉRICA DO SUL; -8.282389640808105;-36.01350021362305
SKCL;CALI;;;COLÔMBIA;AMÉRICA DO SUL; 3.54322;-76.3816
EHWO;WOENSDRECHT;;;HOLANDA;EUROPA; 51.4491;4.34203
LPFR;FARO / MADEIRA AND ACORES;;;PORTUGAL;EUROPA; 37.0144004822;-7.96590995789
SPLP;"BARRANCO; LIMA PROVINCE";;;PERU;AMÉRICA DO SUL; -12.16069984436;-76.998901367188
KJAX;"JACKSONVILLE; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 30.49410057067871;-81.68789672851562
SBAQ;ARARAQUARA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.812000274699997;-48.1329994202
SBQV;VITÓRIA DA CONQUISTA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -14.8628;-40.863098
SNBR;BARREIRAS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -12.078900337219238;-45.00899887084961
SBAT;ALTA FLORESTA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -9.8663892746;-56.1049995422
SBJI;JI-PARANÁ;RO;NORTE;BRASIL;AMÉRICA DO SUL; -10.874659;-61.848756
SWGN;ARAGUAÍNA;TO;NORTE;BRASIL;AMÉRICA DO SUL; -7.22787;-48.240501
SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -19.851200103759766;-43.950599670410156
SWCA;CARAUARI;AM;NORTE;BRASIL;AMÉRICA DO SUL; -4.871520042419434;-66.89749908447266
SBTT;TABATINGA;AM;NORTE;BRASIL;AMÉRICA DO SUL; -4.2556700706482;-69.93579864502
SBIP;SANTANA DO PARAÍSO;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -19.470699310303;-42.487598419189
SWGI;GURUPI;TO;NORTE;BRASIL;AMÉRICA DO SUL; -11.73960018157959;-49.132198333740234
SWLC;RIO VERDE;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -17.8347225189209;-50.956111907958984
LPAR;ALVERCA;;;PORTUGAL;EUROPA; 38.883301;-9.0301
SWKC;CÁCERES;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -16.04360008239746;-57.62990188598633
SWSI;SINOP;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -11.885001;-55.586109
SWRD;RONDONÓPOLIS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -16.586;-54.7248
SNBA;BARRETOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.570589;-48.581899
SSKW;CACOAL;RO;NORTE;BRASIL;AMÉRICA DO SUL; -11.496;-61.4508
SBYS;PIRASSUNUNGA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.984600067138672;-47.334800720214844
SWKO;COARI;AM;NORTE;BRASIL;AMÉRICA DO SUL; -4.134059906005859;-63.132598876953125
SBAX;ARAXÁ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -19.563199996948;-46.960399627686
SBAN;ANÁPOLIS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -16.2292;-48.964298
SBJF;JUIZ DE FORA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.791500091552734;-43.38679885864258
SBTU;TUCURUÍ;PA;NORTE;BRASIL;AMÉRICA DO SUL; -3.7860100269318;-49.72029876709
SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.0002994537;-53.500801086399996
SBCJ;PARAUAPEBAS;PA;NORTE;BRASIL;AMÉRICA DO SUL; -6.11527776718;-50.0013885498
SBTC;UNA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -15.355199813799999;-38.9990005493
SUPE;"MALDONADO/PUNTA DEL ESTE; MALDONADO";;;URUGUAI;AMÉRICA DO SUL; -34.9169998169;-54.916999816899995
OTBD;DOHA;;;QATAR;ÁSIA; 25.261101;51.565102
FAJS;JOHANNESBURG;;;ÁFRICA DO SUL;ÁFRICA; -26.136660;28.240935
SSUM;UMUARAMA;PR;SUL;BRASIL;AMÉRICA DO SUL; -23.7987003326416;-53.31380081176758
SBBI;CURITIBA;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.4050998688;-49.23199844359999
SBTD;TOLEDO;PR;SUL;BRASIL;AMÉRICA DO SUL; -24.6863;-53.697498
SNDC;REDENÇÃO;PA;NORTE;BRASIL;AMÉRICA DO SUL; -8.033289909362793;-49.97990036010742
SNKE;SANTANA DO ARAGUAIA;PA;NORTE;BRASIL;AMÉRICA DO SUL; -9.31997013092041;-50.32849884033203
SBAA;CONCEIÇÃO DO ARAGUAIA;PA;NORTE;BRASIL;AMÉRICA DO SUL; -8.34835;-49.301498
SDOW;OURILÂNDIA DO NORTE;PA;NORTE;BRASIL;AMÉRICA DO SUL; -6.763100147250001;-51.0499000549
SNFX;SÃO FÉLIX DO XINGU;PA;NORTE;BRASIL;AMÉRICA DO SUL; -6.6413;-51.9523
SNSW;SOURE;PA;NORTE;BRASIL;AMÉRICA DO SUL; -0.6994310021400452;-48.520999908447266
SBMC;MINAÇU;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -13.5491;-48.195301
SWFX;SÃO FÉLIX DO ARAGUAIA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -11.632399559020996;-50.68960189819336
SJHG;CONFRESA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -10.634400367736816;-51.5635986328125
SWGP;PALMEIRAS DE GOIÁS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -16.826900482177734;-49.87889862060547
SWNS;ANÁPOLIS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -16.3623008728;-48.9271011353
SWDE;SÃO MIGUEL DO ARAGUAIA;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -12.822572;-50.328188
SWHG;SANTA HELENA DE GOIÁS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -17.883888244628906;-50.567222595214844
SWHP;ÁGUA BOA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.019444;-52.152222
SBCI;CAROLINA;MA;NORDESTE;BRASIL;AMÉRICA DO SUL; -7.32043981552124;-47.45869827270508
SWIQ;MINAÇU;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -13.544684;-48.194352
LSZH;ZÜRICH/KLOTEN;;;SUÍÇA;EUROPA; 47.464699;8.54917
SVMG;"PORLAMAR; ISLA MARGARITA";;;VENEZUELA;AMÉRICA DO SUL; 10.912603378295898;-63.96659851074219
KIAD;"WASHINGTON; DC";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 38.94449997;-77.45580292
LPPT;LISBOA;;;PORTUGAL;EUROPA; 38.7813;-9.13592
LMML;LUQA;;;MALTA;EUROPA; 35.857498;14.4775
LPPR;PORTO;;;PORTUGAL;EUROPA; 41.2481002808;-8.68138980865
LTBA;ISTANBUL;;;TURQUIA;EUROPA; 40.976898;28.8146
SBTB;ORIXIMINÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.489599943161;-56.396800994873
SBGV;GOVERNADOR VALADARES;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -18.89520072937;-41.982200622559
SBME;MACAÉ;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.343000412;-41.7659988403
SNDT;DIAMANTINA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -18.232000351;-43.650398254399995
SNJR;SÃO JOÃO DEL REI;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.0849990845;-44.2247238159
SNPD;PATOS DE MINAS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -18.672800064086914;-46.4911994934082
SSDO;DOURADOS;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -22.2019;-54.926601
SBCR;CORUMBÁ;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -19.0119438171;-57.6713905334
SBDB;BONITO;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -21.2473;-56.4525
SBVH;VILHENA;RO;NORTE;BRASIL;AMÉRICA DO SUL; -12.694399833679;-60.098300933838
SBUA;SÃO GABRIEL DA CACHOEIRA;AM;NORTE;BRASIL;AMÉRICA DO SUL; -0.14835;-66.9855
SDCG;SÃO PAULO DE OLIVENÇA;AM;NORTE;BRASIL;AMÉRICA DO SUL; -3.46792950765;-68.9204120636
SWBC;BARCELOS;AM;NORTE;BRASIL;AMÉRICA DO SUL; -0.981292;-62.919601
SWEI;EIRUNEPÉ;AM;NORTE;BRASIL;AMÉRICA DO SUL; -6.639530181884766;-69.87979888916016
SWHT;HUMAITÁ;AM;NORTE;BRASIL;AMÉRICA DO SUL; -7.532120227810001;-63.072101593
SWLB;LÁBREA;AM;NORTE;BRASIL;AMÉRICA DO SUL; -7.278969764709473;-64.76950073242188
SWOB;FONTE BOA;AM;NORTE;BRASIL;AMÉRICA DO SUL; -2.5326099395800004;-66.0831985474
SWTP;SANTA ISABEL DO RIO NEGRO;AM;NORTE;BRASIL;AMÉRICA DO SUL; -0.3786;-64.9923
SBCM;FORQUILHINHA;SC;SUL;BRASIL;AMÉRICA DO SUL; -28.7244434357;-49.4213905334
SBVG;VARGINHA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.5900993347;-45.4733009338
SBLE;LENÇÓIS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -12.4822998047;-41.2770004272
SDAM;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.85919952392578;-47.10820007324219
SBBU;BAURU;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.3449993134;-49.0537986755
SBBZ;ARMAÇÃO DOS BÚZIOS;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.770881;-41.96308
SBAG;ANGRA DOS REIS;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.975494;-44.302849
SBJR;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.987499;-43.369999
SDTK;PARATY;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.224044;-44.723357
SDMC;MARICÁ;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.9195;-42.830898
SBUY;COARI;AM;NORTE;BRASIL;AMÉRICA DO SUL;  -4.131443;-63.135322
SWUY;COARI;AM;NORTE;BRASIL;AMÉRICA DO SUL; -4.88422012329;-65.3554000854
SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.180369;-46.944408
OMDB;DUBAI INTERNATIONAL;;;EMIRADOS ÁRABES UNIDOS;ÁSIA; 25.2527999878;55.3643989563
KORD;"CHICAGO; ILLINOIS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 41.9786;-87.9048
KSFO;"SAN MATEO COUNTY; CALIFORNIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 37.61899948120117;-122.375
KMSY;"NEW ORLEANS; LOUISIANA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 29.99340057373047;-90.25800323486328
KOKC;"OKLAHOMA CITY; OKLAHOMA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 35.39310073852539;-97.60070037841797
EDFH;RHINELAND-PALATINATE;;;ALEMANHA;EUROPA; 49.9487;7.26389
HSSS;KHARTOUM;;;SUDÃO;ÁFRICA; 15.589500427246094;32.553199768066406
SBER;EIRUNEPÉ;AM;NORTE;BRASIL;AMÉRICA DO SUL;  -6.636853;-69.883151
SBOI;OIAPOQUE;AP;NORTE;BRASIL;AMÉRICA DO SUL; 3.85548996925354;-51.79690170288086
SDVG;VOTUPORANGA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.463199615478516;-50.00450134277344
SBDO;DOURADOS;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -22.197113;-54.924875
SLLP;LA PAZ;;;BOLÍVIA;AMÉRICA DO SUL; -16.5132999420166;-68.19229888916016
EGPK;"GLASGOW; SCOTLAND";;;REINO UNIDO;EUROPA; 55.5093994140625;-4.586669921875
SELT;LATACUNGA;;;EQUADOR;AMÉRICA DO SUL; -0.906833;-78.615799
EGNX;"EAST MIDLANDS; ENGLAND";;;REINO UNIDO;EUROPA; 52.8311004639;-1.32806003094
EDDV;HANOVER;;;ALEMANHA;EUROPA; 52.461101532;9.685079574580001
SVMC;"MARACAIBO; ZULIA";;;VENEZUELA;AMÉRICA DO SUL; 10.5582084656;-71.7278594971
KMZJ;"PINAL COUNTY; ARIZONA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.5106010437;-111.32800293
OBBI;AL MUHARRAQ;;;BAHREIN;ÁSIA; 26.27079963684082;50.63359832763672
KSUU;"FAIRFIELD; CALIFORNIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 38.262699127197;-121.92700195312
DNMM;"IKEJA;  LAGOS STATE";;;NIGÉRIA;ÁFRICA; 6.5773701667785645;3.321160078048706
SPJC;"CALLAO/LIMA; LIMA METROPOLITAN AREA";;;PERU;AMÉRICA DO SUL; -12.024053;-77.112036
KGWO;"GREENWOOD; MISSISSIPPI";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.4943008423;-90.0847015381
SAZS;"SAN CARLOS DE BARILOCHE; RÍO NEGRO PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -41.151199;-71.157501
KVCV;"VICTORVILLE; CALIFORNIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 34.597499847399995;-117.383003235
LIPO;MONTICHIARI;;;ITÁLIA;EUROPA; 45.428902;10.3306
